"Date","Price","Open","High","Low","Change %"
"02/07/2024","1.560","1.420","1.650","1.420","0.00%"
"02/06/2024","1.560","1.450","1.610","1.450","5.41%"
"02/05/2024","1.480","1.400","1.600","1.400","-5.13%"
"02/04/2024","1.560","1.550","1.570","1.330","0.65%"
"02/03/2024","1.550","1.330","1.550","1.330","0.00%"
"02/02/2024","1.550","1.330","1.650","1.330","-0.64%"
"02/01/2024","1.560","1.400","1.910","1.290","0.00%"
"01/31/2024","1.560","1.410","1.600","1.410","0.00%"
"01/30/2024","1.560","1.400","1.650","1.400","0.00%"
"01/29/2024","1.560","1.400","1.600","1.400","0.00%"
"01/28/2024","1.560","1.510","1.590","1.400","11.43%"
"01/27/2024","1.400","1.400","1.400","1.400","-11.95%"
"01/26/2024","1.590","1.400","1.700","1.400","1.92%"
"01/25/2024","1.560","1.390","1.640","1.390","0.00%"
"01/24/2024","1.560","1.390","1.650","1.390","0.00%"
"01/23/2024","1.560","1.440","1.650","1.440","0.00%"
"01/22/2024","1.560","1.450","1.620","1.450","0.00%"
"01/21/2024","1.560","1.370","1.610","1.370","13.87%"
"01/20/2024","1.370","1.370","1.370","1.370","-12.18%"
"01/19/2024","1.560","1.370","1.650","1.370","0.65%"
"01/18/2024","1.550","1.360","1.650","1.360","3.33%"
"01/17/2024","1.500","1.320","1.600","1.320","-0.66%"
"01/16/2024","1.510","1.370","1.650","1.370","-3.21%"
"01/15/2024","1.560","1.410","1.600","1.410","0.00%"
"01/14/2024","1.560","1.600","1.620","1.470","0.65%"
"01/13/2024","1.550","1.430","1.550","1.430","0.00%"
"01/12/2024","1.550","1.430","1.650","1.430","-0.64%"
"01/11/2024","1.560","1.430","1.650","1.430","0.00%"
"01/10/2024","1.560","1.420","1.650","1.420","0.00%"
"01/09/2024","1.560","1.400","1.650","1.400","0.00%"
"01/08/2024","1.560","1.440","1.950","1.440","0.00%"
"01/07/2024","1.560","1.630","1.630","1.450","7.59%"
"01/06/2024","1.450","1.450","1.450","1.450","-7.64%"
"01/05/2024","1.570","1.450","1.650","1.450","-3.09%"
"01/04/2024","1.620","1.420","1.630","1.420","3.85%"
"01/03/2024","1.560","1.430","1.700","1.430","0.00%"
"01/02/2024","1.560","1.570","1.930","1.200","0.00%"
"01/01/2024","1.560","1.450","1.700","1.450","0.00%"
"12/31/2023","1.560","1.550","1.700","1.450","0.65%"
"12/30/2023","1.550","1.450","1.550","1.450","-0.64%"
"12/29/2023","1.560","1.450","1.770","1.390","-1.27%"
"12/28/2023","1.580","1.410","2.110","1.410","0.64%"
"12/27/2023","1.570","1.730","2.440","1.570","0.00%"
"12/26/2023","1.570","1.730","2.130","1.570","0.00%"
"12/25/2023","1.570","1.730","2.100","1.570","0.00%"
"12/24/2023","1.570","2.050","2.050","1.570","-23.41%"
"12/23/2023","2.050","2.050","2.050","2.050","11.41%"
