"Date","Price","Open","High","Low","Change %"
"08/23/2023","1.880","1.900","1.970","1.840","-4.57%"
"08/22/2023","1.970","1.900","1.980","1.860","5.35%"
"08/21/2023","1.870","1.940","1.990","1.860","-1.58%"
"08/20/2023","1.900","1.930","1.940","1.900","-2.06%"
"08/19/2023","1.940","1.940","1.940","1.940","0.00%"
"08/18/2023","1.940","1.930","2.010","1.870","0.00%"
"08/17/2023","1.940","1.930","1.970","1.850","2.11%"
"08/16/2023","1.900","1.930","1.990","1.850","0.00%"
"08/15/2023","1.900","1.950","1.980","1.820","-1.04%"
"08/14/2023","1.920","1.950","1.980","1.830","-0.52%"
"08/13/2023","1.930","1.920","1.980","1.920","0.52%"
"08/12/2023","1.920","1.920","1.920","1.920","0.00%"
"08/11/2023","1.920","1.970","1.970","1.840","-1.03%"
"08/10/2023","1.940","1.970","1.990","1.830","0.00%"
"08/09/2023","1.940","1.970","1.970","1.820","0.00%"
"08/08/2023","1.940","1.960","2.000","1.830","-1.02%"
"08/07/2023","1.960","1.940","2.000","1.860","0.00%"
"08/06/2023","1.960","1.940","1.980","1.920","1.03%"
"08/04/2023","1.940","1.890","2.000","1.860","0.00%"
"08/03/2023","1.940","1.980","2.000","1.870","0.00%"
"08/02/2023","1.940","1.960","2.010","1.860","0.00%"
"08/01/2023","1.940","1.980","2.000","1.890","0.00%"
"07/31/2023","1.940","1.990","2.010","1.880","0.00%"
"07/30/2023","1.940","2.020","2.020","1.940","-3.00%"
"07/28/2023","2.000","2.000","2.000","1.890","0.50%"
"07/27/2023","1.990","2.000","2.040","1.950","0.00%"
"07/26/2023","1.990","2.000","2.090","1.930","0.51%"
"07/25/2023","1.980","2.000","2.010","1.930","-1.00%"
"07/24/2023","2.000","1.950","2.020","1.910","3.09%"
"07/23/2023","1.940","2.000","2.000","1.940","-0.51%"
"07/22/2023","1.950","1.950","1.950","1.950","-1.52%"
"07/21/2023","1.980","1.950","2.080","1.920","3.13%"
"07/20/2023","1.920","1.950","2.010","1.890","0.00%"
"07/19/2023","1.920","1.950","2.030","1.900","-1.03%"
"07/18/2023","1.940","1.950","2.100","1.890","-1.02%"
"07/17/2023","1.960","1.950","2.060","1.930","0.00%"
"07/16/2023","1.960","2.000","2.010","1.950","0.51%"
"07/15/2023","1.950","1.970","1.970","1.950","-0.51%"
"07/14/2023","1.960","1.950","2.030","1.920","0.00%"
"07/13/2023","1.960","1.950","2.060","1.950","0.00%"
"07/12/2023","1.960","2.000","2.060","1.950","0.00%"
"07/11/2023","1.960","1.950","2.070","1.950","-1.01%"
"07/10/2023","1.980","2.010","2.080","1.940","-4.35%"
"07/09/2023","2.070","1.950","2.070","1.950","6.15%"
"07/08/2023","1.950","1.980","2.070","1.950","-1.52%"
"07/07/2023","1.980","2.000","2.080","1.950","1.02%"
"07/06/2023","1.960","2.000","2.140","1.960","0.00%"
"07/05/2023","1.960","2.000","2.100","1.960","0.00%"
