"Date","Price","Open","High","Low","Change %"
"04/24/2023","1.330","1.370","1.380","1.170","0.00%"
"04/23/2023","1.330","1.330","1.330","1.330","0.00%"
"04/21/2023","1.330","0.900","1.370","0.870","44.57%"
"04/20/2023","0.920","0.900","0.920","0.900","2.22%"
"04/19/2023","0.900","1.070","1.080","0.900","-14.29%"
"04/18/2023","1.050","1.070","1.090","1.050","0.00%"
"04/17/2023","1.050","1.030","1.060","1.000","1.94%"
"04/16/2023","1.030","1.030","1.030","1.030","14.44%"
"04/15/2023","0.900","1.030","1.030","0.900","-10.00%"
"04/14/2023","1.000","1.030","1.030","1.000","-13.79%"
"04/13/2023","1.160","1.030","1.210","1.010","0.00%"
"04/12/2023","1.160","0.900","1.200","0.900","28.89%"
"04/11/2023","0.900","1.030","1.030","0.900","-12.62%"
"04/10/2023","1.030","1.030","1.030","1.030","-16.26%"
"04/09/2023","1.230","1.150","1.230","0.900","36.67%"
"04/08/2023","0.900","1.050","1.050","0.900","-30.77%"
"04/07/2023","1.300","1.300","1.300","1.300","0.00%"
"04/06/2023","1.300","1.230","1.310","1.170","0.00%"
"04/05/2023","1.300","1.350","1.350","1.160","-0.76%"
"04/04/2023","1.310","1.350","1.360","1.150","0.00%"
"04/03/2023","1.310","1.120","1.380","1.120","18.02%"
"04/02/2023","1.110","1.110","1.110","1.110","-15.27%"
"03/31/2023","1.310","1.350","1.350","1.220","0.00%"
"03/30/2023","1.310","1.350","1.390","1.220","0.00%"
"03/29/2023","1.310","1.350","1.360","1.180","0.00%"
"03/28/2023","1.310","1.350","1.350","1.220","0.00%"
"03/27/2023","1.310","0.990","1.350","0.970","33.67%"
"03/26/2023","0.980","0.980","0.980","0.980","0.00%"
"03/25/2023","0.980","0.980","0.980","0.980","-14.04%"
"03/24/2023","1.140","1.110","1.170","1.050","107.27%"
"03/23/2023","0.550","1.100","1.100","0.500","-48.11%"
"03/22/2023","1.060","1.030","1.100","0.980","7.07%"
"03/21/2023","0.990","1.020","1.050","0.980","1.02%"
"03/20/2023","0.980","1.080","1.080","0.980","-5.77%"
"03/19/2023","1.040","1.040","1.040","1.040","0.00%"
"03/18/2023","1.040","1.060","1.060","1.040","-3.70%"
"03/17/2023","1.080","1.000","1.080","1.000","8.00%"
"03/16/2023","1.000","1.060","1.060","0.880","-8.26%"
"03/15/2023","1.090","1.050","1.190","0.950","7.92%"
"03/14/2023","1.010","0.750","1.110","0.740","14.77%"
"03/13/2023","0.880","1.110","1.190","0.800","-20.72%"
